time	V(vout)
Step Information: Run=1  (Step: 1/250)
0.000000000000000e+00	0.000000e+00
9.999999439624929e-11	3.732188e+00
1.010836553946365e-10	3.719287e+00
1.032509773914110e-10	3.694043e+00
1.075856213849599e-10	3.646572e+00
1.162549093720578e-10	3.561072e+00
1.335934853462535e-10	3.413332e+00
1.520544328466656e-10	3.271766e+00
1.694012670767134e-10	3.141533e+00
1.939583241401446e-10	2.957181e+00
2.430724382670070e-10	2.588525e+00
3.413006665207318e-10	1.851402e+00
3.658577235841630e-10	1.667168e+00
4.149718377110254e-10	1.298751e+00
4.874830991194257e-10	7.954810e-01
5.353323812684766e-10	6.131870e-01
5.915416958868543e-10	5.679522e-01
6.235961179048246e-10	5.578836e-01
6.734170310176381e-10	5.473896e-01
7.663693830447349e-10	5.358643e-01
9.522740870989288e-10	5.256754e-01
1.204029745461121e-09	5.219309e-01
1.615753871279094e-09	5.213691e-01
2.219559224367921e-09	5.221811e-01
3.427169930545575e-09	5.236955e-01
5.842391342900883e-09	5.267595e-01
1.067283416761150e-08	5.328667e-01
2.033371981703273e-08	5.451034e-01
3.965549111587519e-08	5.695791e-01
7.829903371356012e-08	6.186099e-01
1.555861189089300e-07	7.168694e-01
3.101602892996697e-07	9.139964e-01
6.193086300811491e-07	1.309523e+00
1.237605311644108e-06	2.101755e+00
1.859096602612675e-06	2.892438e+00
2.249478211571969e-06	3.295681e+00
2.369007790915053e-06	3.299276e+00
2.446054630191760e-06	3.299431e+00
2.521376698377042e-06	3.299623e+00
2.672020834747606e-06	3.299656e+00
2.973309107488733e-06	3.299775e+00
3.575885652970987e-06	3.299774e+00
4.781038743935495e-06	3.299831e+00
7.191344925864511e-06	3.299810e+00
1.201195728972254e-05	3.299846e+00
2.165318201743861e-05	3.299817e+00
4.093563147287074e-05	3.299847e+00
7.950053038373500e-05	3.299818e+00
1.566303282054635e-04	3.299848e+00
3.108899238489206e-04	3.299818e+00
6.194091151358347e-04	3.299848e+00
1.236447497709663e-03	3.299818e+00
2.470524262857319e-03	3.299848e+00
4.938677793152632e-03	3.299819e+00
8.844927793152633e-03	3.299850e+00
1.275117779315263e-02	3.299821e+00
1.665742779315263e-02	3.299852e+00
2.056367779315263e-02	3.299823e+00
2.446992779315263e-02	3.299854e+00
2.837617779315263e-02	3.299825e+00
3.228242779315263e-02	3.299856e+00
3.618867779315263e-02	3.299827e+00
4.009492779315263e-02	3.299858e+00
4.400117779315263e-02	3.299829e+00
4.790742779315263e-02	3.299860e+00
5.181367779315263e-02	3.299830e+00
5.571992779315263e-02	3.299862e+00
5.962617779315263e-02	3.299832e+00
6.353242779315263e-02	3.299863e+00
6.743867779315263e-02	3.299834e+00
7.134492779315263e-02	3.299865e+00
7.525117779315263e-02	3.299836e+00
7.915742779315263e-02	3.299867e+00
8.306367779315263e-02	3.299838e+00
8.696992779315263e-02	3.299869e+00
9.087617779315263e-02	3.299839e+00
9.478242779315263e-02	3.299870e+00
9.868867779315263e-02	3.299841e+00
1.025949277931526e-01	3.299872e+00
1.065011777931526e-01	3.299843e+00
1.104074277931526e-01	3.299873e+00
1.143136777931526e-01	3.299844e+00
1.182199277931526e-01	3.299875e+00
1.221261777931526e-01	3.299846e+00
1.260324277931526e-01	3.299876e+00
1.299386777931526e-01	3.299847e+00
1.338449277931526e-01	3.299878e+00
1.377511777931526e-01	3.299849e+00
1.416574277931526e-01	3.299879e+00
1.455636777931526e-01	3.299850e+00
1.494699277931526e-01	3.299881e+00
1.533761777931526e-01	3.299851e+00
1.572824277931526e-01	3.299882e+00
1.611886777931526e-01	3.299853e+00
1.650949277931526e-01	3.299884e+00
1.690011777931526e-01	3.299854e+00
1.729074277931526e-01	3.299885e+00
1.768136777931526e-01	3.299855e+00
1.807199277931526e-01	3.299886e+00
1.846261777931526e-01	3.299857e+00
1.885324277931526e-01	3.299887e+00
1.924386777931526e-01	3.299858e+00
1.963449277931526e-01	3.299889e+00
2.002511777931526e-01	3.299859e+00
2.041574277931526e-01	3.299890e+00
2.080636777931526e-01	3.299860e+00
2.119699277931526e-01	3.299891e+00
2.158761777931526e-01	3.299861e+00
2.197824277931526e-01	3.299892e+00
2.236886777931526e-01	3.299863e+00
2.275949277931526e-01	3.299893e+00
2.315011777931526e-01	3.299864e+00
2.354074277931526e-01	3.299894e+00
2.393136777931526e-01	3.299865e+00
2.432199277931526e-01	3.299896e+00
2.471261777931526e-01	3.299866e+00
2.510324277931526e-01	3.299896e+00
2.549386777931526e-01	3.299867e+00
2.588449277931526e-01	3.299897e+00
2.627511777931526e-01	3.299868e+00
2.666574277931526e-01	3.299899e+00
2.705636777931526e-01	3.299869e+00
2.744699277931526e-01	3.299900e+00
2.783761777931526e-01	3.299870e+00
2.822824277931526e-01	3.299901e+00
2.861886777931526e-01	3.299871e+00
2.900949277931526e-01	3.299901e+00
2.940011777931526e-01	3.299872e+00
2.979074277931526e-01	3.299902e+00
3.018136777931526e-01	3.299873e+00
3.057199277931526e-01	3.299903e+00
3.096261777931526e-01	3.299874e+00
3.135324277931526e-01	3.299904e+00
3.174386777931526e-01	3.299875e+00
3.213449277931526e-01	3.299905e+00
3.252511777931526e-01	3.299875e+00
3.291574277931526e-01	3.299906e+00
3.330636777931526e-01	3.299876e+00
3.369699277931526e-01	3.299907e+00
3.408761777931526e-01	3.299877e+00
3.447824277931526e-01	3.299907e+00
3.486886777931526e-01	3.299878e+00
3.525949277931526e-01	3.299908e+00
3.565011777931526e-01	3.299879e+00
3.604074277931526e-01	3.299909e+00
3.643136777931526e-01	3.299879e+00
3.682199277931526e-01	3.299910e+00
3.721261777931526e-01	3.299880e+00
3.760324277931526e-01	3.299911e+00
3.799386777931526e-01	3.299881e+00
3.838449277931526e-01	3.299911e+00
3.877511777931526e-01	3.299881e+00
3.916574277931526e-01	3.299912e+00
3.955636777931526e-01	3.299882e+00
3.994699277931526e-01	3.299913e+00
4.033761777931526e-01	3.299883e+00
4.072824277931526e-01	3.299913e+00
4.111886777931526e-01	3.299884e+00
4.150949277931526e-01	3.299914e+00
4.190011777931526e-01	3.299884e+00
4.229074277931526e-01	3.299915e+00
4.268136777931526e-01	3.299885e+00
4.307199277931526e-01	3.299915e+00
4.346261777931526e-01	3.299886e+00
4.385324277931526e-01	3.299916e+00
4.424386777931526e-01	3.299886e+00
4.463449277931526e-01	3.299917e+00
4.502511777931526e-01	3.299887e+00
4.541574277931526e-01	3.299917e+00
4.580636777931526e-01	3.299887e+00
4.619699277931526e-01	3.299917e+00
4.658761777931526e-01	3.299888e+00
4.697824277931526e-01	3.299918e+00
4.736886777931526e-01	3.299888e+00
4.775949277931526e-01	3.299919e+00
4.815011777931526e-01	3.299889e+00
4.854074277931526e-01	3.299919e+00
4.893136777931526e-01	3.299889e+00
4.932199277931526e-01	3.299920e+00
4.971261777931526e-01	3.299890e+00
5.010324277931526e-01	3.299920e+00
5.049386777931526e-01	3.299890e+00
5.088449277931526e-01	3.299920e+00
5.127511777931526e-01	3.299890e+00
5.166574277931526e-01	3.299921e+00
5.205636777931526e-01	3.299890e+00
5.244699277931526e-01	3.299921e+00
5.283761777931526e-01	3.299890e+00
5.322824277931526e-01	3.299921e+00
5.361886777931526e-01	3.299890e+00
5.400949277931526e-01	3.299921e+00
5.440011777931526e-01	3.299889e+00
5.479074277931526e-01	3.299920e+00
5.518136777931526e-01	3.299888e+00
5.557199277931526e-01	3.299918e+00
5.596261777931526e-01	3.299879e+00
5.601144590431526e-01	3.299895e+00
5.610910215431526e-01	3.299891e+00
5.613351621681526e-01	3.299889e+00
5.618234434181526e-01	3.299884e+00
5.628000059181526e-01	3.299824e+00
5.628305234962776e-01	3.299814e+00
5.628915586525276e-01	3.299782e+00
5.629068174415901e-01	3.299769e+00
5.629373350197151e-01	3.299728e+00
5.629449644142464e-01	3.299712e+00
5.629602232033089e-01	3.299670e+00
5.629907407814339e-01	3.299394e+00
5.629953745816062e-01	3.299246e+00
5.629965330316493e-01	3.299196e+00
5.629988499317354e-01	3.299065e+00
5.630034837319078e-01	3.298405e+00
5.630043605306808e-01	3.298078e+00
5.630061141282268e-01	3.296346e+00
5.630062804600261e-01	3.295960e+00
5.630066131236247e-01	3.294863e+00
5.630068806985716e-01	3.293349e+00
5.630071152696454e-01	3.290942e+00
5.630073092170265e-01	3.287132e+00
5.630074722149412e-01	3.280794e+00
5.630076164657253e-01	3.269392e+00
5.630077523540181e-01	3.247083e+00
5.630079070226940e-01	3.191209e+00
5.630080470410376e-01	3.095504e+00
5.630082376578671e-01	2.900361e+00
5.630084790148433e-01	2.604812e+00
5.630087437544264e-01	2.267851e+00
5.630091638265915e-01	1.729944e+00
5.630100039709216e-01	6.555973e-01
5.630105100910854e-01	4.133706e-02
5.630106983482941e-01	6.945838e-04
5.630108320697681e-01	4.387755e-04
5.630109419853065e-01	2.810549e-04
5.630110485976696e-01	2.951787e-04
5.630112618223958e-01	2.034279e-04
5.630116882718481e-01	2.113961e-04
5.630125411707527e-01	1.533847e-04
5.630142469685621e-01	1.739512e-04
5.630176585641807e-01	1.365818e-04
5.630244817554181e-01	1.640661e-04
5.630381281378928e-01	1.334744e-04
5.630654209028422e-01	1.625957e-04
5.631200064327408e-01	1.333452e-04
5.632291774925383e-01	1.632394e-04
5.634475196121332e-01	1.333636e-04
5.638842038513231e-01	1.631163e-04
5.647575723297028e-01	1.330897e-04
5.665043092864622e-01	1.625499e-04
5.699977831999811e-01	1.319590e-04
5.739040331999811e-01	1.609860e-04
5.778102831999811e-01	1.303284e-04
5.817165331999811e-01	1.593482e-04
5.856227831999811e-01	1.287068e-04
5.895290331999811e-01	1.577441e-04
5.934352831999811e-01	1.271211e-04
5.973415331999811e-01	1.561755e-04
6.012477831999811e-01	1.255704e-04
6.051540331999811e-01	1.546414e-04
6.090602831999811e-01	1.240539e-04
6.129665331999811e-01	1.531413e-04
6.168727831999811e-01	1.225709e-04
6.207790331999811e-01	1.516742e-04
6.246852831999811e-01	1.211206e-04
6.285915331999811e-01	1.502396e-04
6.324977831999811e-01	1.197024e-04
6.364040331999811e-01	1.488366e-04
6.403102831999811e-01	1.183154e-04
6.442165331999811e-01	1.474647e-04
6.481227831999811e-01	1.169591e-04
6.520290331999811e-01	1.461230e-04
6.559352831999811e-01	1.156328e-04
6.598415331999811e-01	1.448109e-04
6.637477831999811e-01	1.143357e-04
6.676540331999811e-01	1.435278e-04
6.715602831999811e-01	1.130673e-04
6.754665331999811e-01	1.422730e-04
6.793727831999811e-01	1.118268e-04
6.832790331999811e-01	1.410460e-04
6.871852831999811e-01	1.106138e-04
6.910915331999811e-01	1.398460e-04
6.949977831999811e-01	1.094275e-04
6.989040331999811e-01	1.386726e-04
7.028102831999811e-01	1.082675e-04
7.067165331999811e-01	1.375250e-04
7.106227831999811e-01	1.071330e-04
7.145290331999811e-01	1.364028e-04
7.184352831999811e-01	1.060236e-04
7.223415331999811e-01	1.353054e-04
7.262477831999811e-01	1.049387e-04
7.301540331999811e-01	1.342322e-04
7.340602831999811e-01	1.038778e-04
7.379665331999811e-01	1.331826e-04
7.418727831999811e-01	1.028402e-04
7.457790331999811e-01	1.321563e-04
7.496852831999811e-01	1.018256e-04
7.535915331999811e-01	1.311527e-04
7.574977831999811e-01	1.008334e-04
7.614040331999811e-01	1.301712e-04
7.653102831999811e-01	9.986311e-05
7.692165331999811e-01	1.292113e-04
7.731227831999811e-01	9.891424e-05
7.770290331999811e-01	1.282727e-04
7.809352831999811e-01	9.798633e-05
7.848415331999811e-01	1.273548e-04
7.887477831999811e-01	9.707892e-05
7.926540331999811e-01	1.264572e-04
7.965602831999811e-01	9.619156e-05
8.004665331999811e-01	1.255795e-04
8.043727831999811e-01	9.532382e-05
8.082790331999811e-01	1.247212e-04
8.121852831999811e-01	9.447528e-05
8.160915331999811e-01	1.238819e-04
8.199977831999811e-01	9.364553e-05
8.239040331999811e-01	1.230612e-04
8.278102831999811e-01	9.283418e-05
8.317165331999811e-01	1.222587e-04
8.356227831999811e-01	9.204086e-05
8.395290331999811e-01	1.214741e-04
8.434352831999811e-01	9.126521e-05
8.473415331999811e-01	1.207071e-04
8.512477831999811e-01	9.050690e-05
8.551540331999811e-01	1.199574e-04
8.590602831999811e-01	8.976564e-05
8.629665331999811e-01	1.192247e-04
8.668727831999811e-01	8.904117e-05
8.707790331999811e-01	1.185088e-04
8.746852831999811e-01	8.833326e-05
8.785915331999811e-01	1.178096e-04
8.824977831999811e-01	8.764175e-05
8.864040331999811e-01	1.171270e-04
8.903102831999811e-01	8.696655e-05
8.942165331999811e-01	1.164611e-04
8.981227831999811e-01	8.630762e-05
9.020290331999811e-01	1.158120e-04
9.059352831999811e-01	8.566507e-05
9.098415331999811e-01	1.151801e-04
9.137477831999811e-01	8.503912e-05
9.176540331999811e-01	1.145658e-04
9.215602831999811e-01	8.443014e-05
9.254665331999811e-01	1.139699e-04
9.293727831999811e-01	8.383872e-05
9.332790331999811e-01	1.133935e-04
9.371852831999811e-01	8.326572e-05
9.410915331999811e-01	1.128381e-04
9.449977831999811e-01	8.271231e-05
9.489040331999811e-01	1.123058e-04
9.528102831999811e-01	8.218013e-05
9.567165331999811e-01	1.117991e-04
9.606227831999811e-01	8.167137e-05
9.645290331999811e-01	1.113218e-04
9.684352831999811e-01	8.118905e-05
9.723415331999811e-01	1.108788e-04
9.762477831999811e-01	8.073732e-05
9.801540331999811e-01	1.104771e-04
9.840602831999811e-01	8.032202e-05
9.879665331999811e-01	1.101265e-04
9.918727831999811e-01	7.995166e-05
9.957790331999811e-01	1.098415e-04
9.996852831999811e-01	7.963925e-05
1.003591533199981e+00	1.096447e-04
1.007497783199981e+00	7.940589e-05
1.011404033199981e+00	1.096237e-04
1.015310283199981e+00	7.928124e-05
1.019216533199981e+00	1.097743e-04
1.023122783199981e+00	7.940177e-05
1.027029033199981e+00	1.103063e-04
1.030935283199981e+00	7.988161e-05
1.034841533199981e+00	1.117294e-04
1.038747783199981e+00	8.146691e-05
1.042654033199981e+00	1.169324e-04
1.046560283199981e+00	9.450510e-05
1.047048564449981e+00	1.242123e-04
1.047170634762481e+00	1.286781e-04
1.047414775387481e+00	1.439193e-04
1.047475810543731e+00	1.509070e-04
1.047597880856231e+00	1.748348e-04
1.047628398434356e+00	1.857169e-04
1.047689433590606e+00	2.218785e-04
1.047704692379669e+00	2.375320e-04
1.047735209957794e+00	2.866403e-04
1.047742839352325e+00	3.063882e-04
1.047758098141387e+00	3.633106e-04
1.047761912838653e+00	3.840332e-04
1.047769542233184e+00	4.382485e-04
1.047784801022247e+00	6.996437e-04
1.047788615719512e+00	8.854702e-04
1.047789569393829e+00	9.506534e-04
1.047791476742462e+00	1.124251e-03
1.047795291439727e+00	2.158864e-03
1.047795819095787e+00	2.562933e-03
1.047796874407907e+00	4.317624e-03
1.047796990389883e+00	4.700742e-03
1.047797222353836e+00	5.714457e-03
1.047797485994030e+00	7.663813e-03
1.047797698955529e+00	1.062284e-02
1.047797877116267e+00	1.543941e-02
1.047798029819090e+00	2.372189e-02
1.047798168858636e+00	3.923036e-02
1.047798304698838e+00	7.089175e-02
1.047798452323801e+00	1.418633e-01
1.047798602581473e+00	2.667024e-01
1.047798850143081e+00	5.468117e-01
1.047799112680065e+00	8.778199e-01
1.047799437524567e+00	1.293119e+00
1.047800034942134e+00	2.058619e+00
1.047800720014664e+00	2.929950e+00
1.047801129444890e+00	3.298475e+00
1.047801130557733e+00	3.298580e+00
1.047801132783419e+00	3.298644e+00
1.047801137234791e+00	3.298707e+00
1.047801142150489e+00	3.298800e+00
1.047801151981885e+00	3.298920e+00
1.047801171644676e+00	3.299124e+00
1.047801205372660e+00	3.299321e+00
1.047801272828626e+00	3.299528e+00
1.047801359832537e+00	3.299637e+00
1.047801533840358e+00	3.299731e+00
1.047801758316161e+00	3.299774e+00
1.047802207267766e+00	3.299810e+00
1.047803105170975e+00	3.299830e+00
1.047804900977395e+00	3.299843e+00
1.047808492590234e+00	3.299848e+00
1.047815675815912e+00	3.299852e+00
1.047830042267268e+00	3.299851e+00
1.047858775169980e+00	3.299853e+00
1.047916240975403e+00	3.299851e+00
1.048031172586251e+00	3.299852e+00
1.048261035807946e+00	3.299851e+00
1.048720762251336e+00	3.299853e+00
1.049640215138117e+00	3.299851e+00
1.051479120911678e+00	3.299853e+00
1.055156932458800e+00	3.299852e+00
1.059063182458800e+00	3.299855e+00
1.062969432458800e+00	3.299854e+00
1.066875682458800e+00	3.299856e+00
1.070781932458800e+00	3.299856e+00
1.074688182458800e+00	3.299858e+00
1.078594432458800e+00	3.299857e+00
1.082500682458800e+00	3.299860e+00
1.086406932458800e+00	3.299859e+00
1.090313182458800e+00	3.299861e+00
1.094219432458800e+00	3.299860e+00
1.098125682458800e+00	3.299863e+00
1.102031932458800e+00	3.299862e+00
1.105938182458800e+00	3.299864e+00
1.109844432458800e+00	3.299863e+00
1.113750682458800e+00	3.299865e+00
1.117656932458800e+00	3.299865e+00
1.121563182458800e+00	3.299867e+00
